Code,School Name,Enrollment,Arts Index,Index Quartile,Grade Configuration,Local District,Board District
6740,SHORT EL,319,29,3,K- 6,West,4
6753,SIERRA PARK EL,453,19,1,K- 6,East,2
6767,SIERRA VISTA EL,257,23,2,K- 6,East,5
6795,Sixty-Eighth,860,21,1,Pre-K- 6th,South,7
8842,SOCES MAG,"2,087",29,3,4-12,NorthWes,3
6836,SOLANO EL,258,35,4,K- 6,East,2
6849,SOTO EL,228,21,1,K- 6,East,2
6863,SOUTH PARK EL,"1,059",20,1,K- 6,South,7
6890,STAGG EL,470,54,4,K- 5,NorthWes,6
6904,STANFORD EL,565,28,3,1-5,East,5
6905,STANFORD PC,166,12,1,K- K,East,5
6918,STATE EL,609,25,2,K- 5,East,5
6932,STERRY EL,333,22,2,K- 5,West,4
6945,STONEHURST EL,341,20,1,K- 5,Northeast,6
6952,STONER EL,341,31,3,K- 5,West,4
6959,STRATHERN EL,759,36,4,K- 5,Northeast,6
6973,SUNLAND EL,483,35,4,K- 5,Northeast,6
6986,SUNNY BRAE EL,591,23,2,K- 5,NorthWes,3
6988,Sunrise EL,-,0,0,K- 6,East,2
7007,SUPERIOR EL,558,34,3,K- 5,NorthWes,3
7014,SYLMAR EL,621,18,1,K- 5,Northeast,6
7408,SYLMAR LDSHP ACAD,952,33,3,K- 8,Northeast,6
7027,SYLVAN PARK EL,905,31,3,K- 5,Northeast,6
7035,TAPER AVENUE ELEMENTARY,650,46,4,K-5,South,7
7041,TARZANA EL,455,24,2,K- 5,NorthWes,4
7068,TELFAIR EL,869,27,2,K- 5,Northeast,6
7110,Third Street Elementary,750,48,4,k-5,West,Zimmer
7178,TOLAND WAY EL,400,25,2,K- 6,Central,5
7192,TOLUCA LAKE EL,520,24,2,K- 5,Northeast,4
7198,TOPANGA EL CS,309,41,4,K- 5,West,4
7201,TOPEKA DR EL,569,43,4,K- 5,NorthWes,3
7205,TOWNE EL,353,21,1,K- 5,South,7
7219,TRINITY EL,392,14,1,2-5,Central,2
7247,TULSA EL,531,41,4,K- 5,NorthWes,3
7260,TWEEDY EL,679,19,1,K- 5,East,5
7356,UNION EL,"1,200",24,2,K- 5,Central,2
7370,UTAH EL,490,23,2,K- 8,East,2
7384,VALERIO EL,"1,153",21,1,K- 5,Northeast,6
7390,VALLEY ALTERN MAG,616,21,1,K-12,NorthWes,3
7397,VALLEY VIEW EL,223,40,4,K- 6,West,4
7419,VAN DEENE EL,400,41,4,K- 6,South,7
7422,VAN GOGH EL,496,41,4,K- 5,NorthWes,3
7425,VAN NESS EL,263,32,3,K- 5,West,4
7438,VAN NUYS EL,619,39,4,K- 5,Northeast,6
7411,VANALDEN EL,403,33,3,K- 5,NorthWes,3
7466,VENA EL,562,31,3,K- 5,Northeast,6
7479,VERMONT EL,718,23,2,K- 5,Central,1
7493,VERNON CITY EL,264,24,2,K- 6,East,5
7507,VICTORIA EL,542,29,3,K- 5,East,5
7521,VICTORY EL,606,20,1,K- 5,Northeast,6
7534,VINE EL,527,33,3,K- 6,West,4
7548,VINEDALE EL,228,20,1,K- 5,Northeast,6
7562,VINTAGE MATH/SCI MAG,793,27,2,K- 5,NorthWes,3
7575,VIRGINIA EL,423,26,2,K- 5,West,1
7400,VISTA DEL VALLE ACAD,468,27,2,K- 5,Northeast,6
7589,WADSWORTH EL,722,31,3,K- 5,Central,5
7603,WALGROVE EL,353,38,4,K- 5,West,4
4640,WALNUT PARK EL,813,29,3,K- 5,East,5
7616,WARNER EL,693,21,1,K- 5,West,4
7630,WASHINGTON PC,217,6,1,K- 1,South,1
7151,WEEMES EL,714,28,3,K- 5,Central,1
7634,WEIGAND EL,458,21,1,K- 5,South,7
7637,WELBY WAY EL CS,824,55,4,K- 5,NorthWes,3
7644,WEST ATHENS EL,816,32,3,K- 5,West,1
7649,WEST HOLLYWOOD EL,403,42,4,K- 5,West,4
7654,WEST VERNON EL,767,58,4,K- 5,Central,7
7671,WESTERN EL,522,20,1,K- 5,West,1
7699,WESTMINSTER EL,322,44,4,K- 5,West,4
7712,WESTPORT HTS EL,405,32,3,K- 5,West,4
3311,Westside Glbl Awr Mag,-,0,0,K- 8,West,4
7740,WESTWOOD CHTR EL,875,57,4,K- 5,West,4
2542,WHITE EL,357,38,4,1-5,Central,2
7767,WHITE POINT EL,486,33,3,K- 6,South,7
7774,WILBUR CHARTER FOR ENRICHED,658,60,4,TK- 5,NorthWes,4
2309,WILLOW EL,556,21,1,K- 5,East,5
7781,WILMINGTON PARK EL,950,28,3,K- 5,South,7
7795,WILSHIRE CREST EL,298,17,1,K- 5,West,1
2619,WILSHIRE PARK EL,567,16,1,K- 5,West,2
7808,WILTON PL EL,843,39,4,K- 5,West,2
7822,WINDSOR M/S AERO MAG,555,29,3,K- 5,West,1
7836,WINNETKA EL,499,30,3,K- 5,NorthWes,3
6872,WISDOM EL,920,23,2,K- 6,South,7
7849,WONDERLAND EL,545,44,4,K- 5,West,4
7863,WOODCREST EL,864,40,4,K- 5,West,1
7877,WOODLAKE EL,508,41,4,K- 5,NorthWes,3
7890,WOODLAND HILLS CES,723,43,4,K- 5,NorthWes,4
7904,WOODLAWN EL,810,21,1,K- 5,East,5
4658,YES ACADEMY,626,20,1,K- 5,West,1
7959,YORKDALE EL,337,51,4,K- 6,Central,5
