Code,School Name,Enrollment,Arts Index,Index Quartile,Grade Configuration,Local District,Board District
4671,IVANHOE EL,460,38,4,K- 5,Central,5
2943,JONES EL,364,30,3,K- 5,Central,2
5112,JONES PC,196,35,4,K- 2,Central,1
4692,JUSTICE ST ACAD CHTR,408,40,4,K- 5,NorthWes,3
4696,KENNEDY EL,437,31,3,K- 6,East,5
4699,KENTER CANYON EL,540,52,4,K- 5,West,4
4712,KENTWOOD EL,388,42,4,K- 5,West,4
4726,KESTER EL,959,39,4,K- 5,Northeast,3
2701,KIM EL,708,34,3,K- 5,Central,2
6534,KING JR EL,500,22,2,K- 5,Central,1
6179,KINGSLEY EL,503,28,3,K- 5,West,5
4760,KITTRIDGE EL,895,27,2,K- 5,Northeast,3
4762,KNOLLWOOD PREP ACAD,480,21,1,K- 5,NorthWes,3
6869,KNOX EL,906,26,2,K- 6,South,7
7399,KORENSTEIN EL,598,19,1,K- 5,Northeast,6
4786,LA SALLE EL,444,18,1,K- 5,West,1
2543,LAFAYETTE PARK PC,119,18,1,K- K,Central,2
2393,LAKE ST PRIMARY,210,23,2,K- 1,Central,2
4764,LANAI EL,563,45,4,K- 5,NorthWes,4
4767,LANE EL,377,20,1,K- 6,East,5
4775,LANGDON EL,598,25,2,K- 5,NorthWes,6
4781,LANKERSHIM EL,474,25,2,K- 5,Northeast,3
4790,LASSEN EL,605,15,1,K- 5,NorthWes,6
4795,LATONA EL,205,23,2,Pre K- 6,East,2
4808,LAUREL EL,347,30,3,K- 8,West,4
2312,LAWSON ACAD A/M/S,660,29,3,K- 6,West,1
4829,LEAPWOOD EL,293,13,1,K- 5,South,7
2307,LEE MED HLTH MAG,518,20,1,K- 5,Central,2
4836,LELAND EL,607,34,3,K- 6,South,7
4849,LEMAY EL,393,33,3,K- 5,NorthWes,3
5170,LEXINGTON AVE PC,217,19,1,K- 2,Central,5
4863,LIBERTY EL,635,37,4,K- 5,East,5
4870,LIGGETT EL,786,19,1,K- 5,NorthWes,6
4877,LILLIAN EL,559,28,3,K- 6,East,5
4881,LIMERICK EL,850,27,2,K- 5,NorthWes,3
4680,LIZARRAGA EL,693,20,1,K- 5,Central,7
4887,LOCKHURST DR CHTR EL,317,42,4,K- 5,NorthWes,3
4890,LOCKWOOD EL,447,23,2,K- 6,Central,5
4904,LOGAN EL,487,15,1,K- 8,Central,5
4918,LOMA VISTA EL,838,17,1,K- 5,East,5
4932,LOMITA MATH/SCI MAG,968,16,1,K- 5,South,7
4945,LORENA EL,573,19,1,K- 5,East,2
4959,LORETO EL,434,30,3,K- 5,East,5
4973,LORNE EL,595,41,4,K- 5,NorthWes,6
4982,LOS ANGELES EL,875,32,3,K- 5,Central,2
4986,LOS FELIZ STEMM MAG,471,31,3,K- 6,Central,5
1948,LOWMAN SP ED CTR,159,18,1,PK-12,Northeast,6
5014,LOYOLA VILLAGE EL,394,48,4,K- 5,West,4
2544,MACARTHUR PARK VPA,539,28,3,K- 5,Central,2
5113,MACK EL,444,26,2,K- 5,Central,1
3210,MADISON EL,624,33,3,K- 5,East,5
5055,MAGNOLIA EL,"1,111",36,4,K- 6,Central,2
5068,MAIN ST EL,858,27,2,K- 5,Central,7
5082,MALABAR EL,694,34,3,K- 6,East,2
5096,MANCHESTER EL,803,15,1,1-6,South,1
5110,MANHATTAN PLACE EL,399,22,2,K- 5,West,1
7220,MAPLE PC,210,21,1,K- 1,Central,2
5192,MAR VISTA EL,593,37,4,K- 5,West,4
5137,MARIANNA EL,380,22,2,K- 6,East,2
4983,MARIPOSA-NABI PC,254,16,1,K- 2,Central,2
1949,MARLTON,258,25,2,PK-12,West,1
5164,MARQUEZ CHARTER,543,42,4,K- 5,West,4
5164,MARQUEZ CHARTER,544,35,4,K- 5,West,4
5178,MARVIN EL,945,34,3,K- 5,West,1
5198,MAYALL EL,443,17,1,K- 5,NorthWes,3
5205,MAYBERRY EL,296,32,3,K- 6,Central,5
2381,MAYWOOD EL,470,31,3,K- 5,East,5
