Code,School Name,Enrollment,Arts Index,Index Quartile,Grade Configuration,Local District,Board District
5193,Walnut Park MS STEM,-,0,0,6- 8,East,5
8928,WASHINGTON PREP SH,"1,257",55,4,9-12,West,1
8481,WEBSTER MS,462,34,3,6-8,West,4
8943,WESM HLTH/SPORTS MED,"1,423",35,3,9-12,West,4
8748,WEST ADAMS PREP SH,"1,688",44,4,9-12,Central,2
3311,Westside Global Awareness Ma,401,19,1,K - 8,West,4
8487,WHITE MS,"1,663",39,3,6-8,South,7
8623,WHITMAN HS,82,28,2,9-12,West,4
1914,WIDNEY HS,240,25,1,7-12,Central,1
1957,WILLENBERG SP ED CTR,186,24,1,PK-12,South,7
8490,WILMINGTON MS,"1,426",27,2,6-8,South,7
8618,WILSON SH,"1,637",44,4,9-12,East,2
8591,WOODEN HS,123,31,2,9-12,Northwest,3
8344,WOODLAND HILLS ACAD,"1,040",55,4,6-8,Northwest,4
8493,WRIGHT ENG DES MAG,717,27,2,6-8,West,4
8948,YTH OPP UNLTD ALT HS,346,47,4,9-12,South,1
